Velas cargadas: 252 desde velas_simuladas_1anio.csv

=== MhiMayoria_Caso3_2Martingalas ===
Estado: Success
CashFinal: 1020.665
Trades: 81
PnL total: 30.76
Ganadores: 54 · Perdedores: 26 · Neutros(PnL=0): 1
  Timestamp=49 Oficial=A EquityA=1000.730 EquityB=1000.730 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=50 Oficial=A EquityA=1000.430 EquityB=1000.430 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=51 Oficial=A EquityA=999.510 EquityB=999.510 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=52 Oficial=A EquityA=999.510 EquityB=999.510 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=53 Oficial=A EquityA=1000.510 EquityB=1000.510 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=54 Oficial=A EquityA=1001.830 EquityB=1001.830 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=55 Oficial=A EquityA=1001.830 EquityB=1001.830 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=56 Oficial=A EquityA=1000.530 EquityB=1000.530 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=57 Oficial=A EquityA=1004.110 EquityB=1004.110 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=58 Oficial=A EquityA=1004.110 EquityB=1004.110 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=59 Oficial=A EquityA=1004.150 EquityB=1004.150 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=60 Oficial=A EquityA=1003.180 EquityB=1003.180 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=61 Oficial=A EquityA=1003.180 EquityB=1003.180 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=62 Oficial=A EquityA=1003.700 EquityB=1003.700 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=63 Oficial=A EquityA=1003.080 EquityB=1003.080 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=64 Oficial=A EquityA=1003.080 EquityB=1003.080 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=65 Oficial=A EquityA=1004.740 EquityB=1004.740 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=66 Oficial=A EquityA=1006.500 EquityB=1006.500 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=67 Oficial=A EquityA=1006.500 EquityB=1006.500 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=68 Oficial=A EquityA=1006.550 EquityB=1006.550 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=69 Oficial=A EquityA=1006.810 EquityB=1006.810 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=70 Oficial=A EquityA=1006.810 EquityB=1006.810 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=71 Oficial=A EquityA=1007.300 EquityB=1007.300 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=72 Oficial=A EquityA=1007.960 EquityB=1007.960 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=73 Oficial=A EquityA=1007.960 EquityB=1007.960 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=74 Oficial=A EquityA=1008.300 EquityB=1008.300 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=75 Oficial=A EquityA=1008.800 EquityB=1008.800 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=76 Oficial=A EquityA=1008.800 EquityB=1008.800 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=77 Oficial=A EquityA=1009.510 EquityB=1009.510 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=78 Oficial=A EquityA=1009.920 EquityB=1009.920 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=79 Oficial=A EquityA=1009.920 EquityB=1009.920 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=80 Oficial=A EquityA=1009.810 EquityB=1009.810 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=81 Oficial=A EquityA=1010.120 EquityB=1010.120 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=82 Oficial=A EquityA=1010.120 EquityB=1010.120 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=83 Oficial=A EquityA=1010.720 EquityB=1010.720 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=84 Oficial=A EquityA=1011.540 EquityB=1011.540 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=85 Oficial=A EquityA=1011.540 EquityB=1011.540 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=86 Oficial=A EquityA=1012.500 EquityB=1012.500 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=87 Oficial=A EquityA=1012.630 EquityB=1012.630 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=88 Oficial=A EquityA=1012.630 EquityB=1012.630 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=89 Oficial=A EquityA=1012.780 EquityB=1012.780 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=90 Oficial=A EquityA=1011.210 EquityB=1011.210 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=91 Oficial=A EquityA=1011.210 EquityB=1011.210 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=92 Oficial=A EquityA=1011.960 EquityB=1011.960 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=93 Oficial=A EquityA=1011.900 EquityB=1011.900 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=94 Oficial=A EquityA=1011.900 EquityB=1011.900 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=95 Oficial=A EquityA=1012.370 EquityB=1012.370 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=96 Oficial=A EquityA=1012.760 EquityB=1012.760 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=97 Oficial=A EquityA=1012.760 EquityB=1012.760 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=98 Oficial=A EquityA=1012.770 EquityB=1012.770 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=99 Oficial=A EquityA=1013.050 EquityB=1013.050 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=100 Oficial=A EquityA=1013.050 EquityB=1013.050 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=101 Oficial=A EquityA=1013.050 EquityB=1013.050 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=102 Oficial=A EquityA=1013.700 EquityB=1013.700 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=103 Oficial=A EquityA=1013.700 EquityB=1013.700 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=104 Oficial=A EquityA=1013.700 EquityB=1013.700 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=105 Oficial=A EquityA=1013.860 EquityB=1013.860 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=106 Oficial=A EquityA=1014.760 EquityB=1014.760 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=107 Oficial=A EquityA=1014.760 EquityB=1014.760 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=108 Oficial=A EquityA=1015.500 EquityB=1015.500 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=109 Oficial=A EquityA=1016.830 EquityB=1016.830 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=110 Oficial=A EquityA=1016.830 EquityB=1016.830 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=111 Oficial=A EquityA=1017.490 EquityB=1017.490 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=112 Oficial=A EquityA=1017.180 EquityB=1017.180 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=113 Oficial=A EquityA=1017.180 EquityB=1017.180 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=114 Oficial=A EquityA=1016.910 EquityB=1016.910 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=115 Oficial=A EquityA=1016.780 EquityB=1016.780 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=116 Oficial=A EquityA=1016.780 EquityB=1016.780 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=117 Oficial=A EquityA=1016.580 EquityB=1016.580 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=118 Oficial=A EquityA=1016.300 EquityB=1016.300 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=119 Oficial=A EquityA=1016.300 EquityB=1016.300 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=120 Oficial=A EquityA=1016.980 EquityB=1016.980 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=121 Oficial=A EquityA=1017.720 EquityB=1017.720 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=122 Oficial=A EquityA=1017.720 EquityB=1017.720 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=123 Oficial=A EquityA=1017.850 EquityB=1017.850 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=124 Oficial=A EquityA=1018.300 EquityB=1018.300 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=125 Oficial=A EquityA=1018.300 EquityB=1018.300 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=126 Oficial=A EquityA=1019.090 EquityB=1019.090 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=127 Oficial=A EquityA=1019.670 EquityB=1019.670 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=128 Oficial=A EquityA=1019.670 EquityB=1019.670 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=129 Oficial=A EquityA=1020.270 EquityB=1020.270 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=130 Oficial=A EquityA=1020.600 EquityB=1020.600 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=131 Oficial=A EquityA=1017.960 EquityB=1017.960 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=132 Oficial=A EquityA=1018.340 EquityB=1018.340 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=133 Oficial=A EquityA=1019.240 EquityB=1019.240 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=134 Oficial=A EquityA=1019.240 EquityB=1019.240 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=135 Oficial=A EquityA=1019.510 EquityB=1019.510 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=136 Oficial=A EquityA=1019.750 EquityB=1019.750 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=137 Oficial=A EquityA=1019.750 EquityB=1019.750 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=138 Oficial=A EquityA=1019.800 EquityB=1019.800 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=139 Oficial=A EquityA=1020.060 EquityB=1020.060 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=140 Oficial=A EquityA=1020.060 EquityB=1020.060 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=141 Oficial=A EquityA=1020.610 EquityB=1020.610 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=142 Oficial=A EquityA=1020.800 EquityB=1020.800 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=143 Oficial=A EquityA=1020.800 EquityB=1020.800 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=144 Oficial=A EquityA=1021.190 EquityB=1021.190 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=145 Oficial=A EquityA=1021.830 EquityB=1021.830 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=146 Oficial=A EquityA=1021.830 EquityB=1021.830 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=147 Oficial=A EquityA=1022.000 EquityB=1022.000 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=148 Oficial=A EquityA=1021.460 EquityB=1021.460 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=149 Oficial=A EquityA=1021.460 EquityB=1021.460 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=150 Oficial=A EquityA=1021.450 EquityB=1021.450 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=151 Oficial=A EquityA=1021.580 EquityB=1021.580 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=152 Oficial=A EquityA=1021.580 EquityB=1021.580 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=153 Oficial=A EquityA=1021.470 EquityB=1021.470 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=154 Oficial=A EquityA=1021.290 EquityB=1021.290 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=155 Oficial=A EquityA=1021.290 EquityB=1021.290 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=156 Oficial=A EquityA=1021.100 EquityB=1021.100 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=157 Oficial=A EquityA=1021.420 EquityB=1021.420 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=158 Oficial=A EquityA=1021.420 EquityB=1021.420 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=159 Oficial=A EquityA=1021.470 EquityB=1021.470 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=160 Oficial=A EquityA=1023.400 EquityB=1023.400 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=161 Oficial=A EquityA=1023.400 EquityB=1023.400 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=162 Oficial=A EquityA=1023.250 EquityB=1023.250 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=163 Oficial=A EquityA=1025.040 EquityB=1025.040 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=164 Oficial=A EquityA=1025.040 EquityB=1025.040 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=165 Oficial=A EquityA=1025.300 EquityB=1025.300 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=166 Oficial=A EquityA=1025.090 EquityB=1025.090 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=167 Oficial=A EquityA=1025.090 EquityB=1025.090 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=168 Oficial=A EquityA=1025.080 EquityB=1025.080 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=169 Oficial=A EquityA=1024.820 EquityB=1024.820 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=170 Oficial=A EquityA=1024.820 EquityB=1024.820 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=171 Oficial=A EquityA=1024.870 EquityB=1024.870 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=172 Oficial=A EquityA=1025.190 EquityB=1025.190 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=173 Oficial=A EquityA=1025.190 EquityB=1025.190 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=174 Oficial=A EquityA=1024.880 EquityB=1024.880 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=175 Oficial=A EquityA=1024.880 EquityB=1024.880 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=176 Oficial=A EquityA=1024.880 EquityB=1024.880 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=177 Oficial=A EquityA=1025.260 EquityB=1025.260 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=178 Oficial=A EquityA=1024.880 EquityB=1024.880 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=179 Oficial=A EquityA=1024.880 EquityB=1024.880 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=180 Oficial=A EquityA=1024.950 EquityB=1024.950 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=181 Oficial=A EquityA=1024.840 EquityB=1024.840 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=182 Oficial=A EquityA=1024.840 EquityB=1024.840 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=183 Oficial=A EquityA=1024.740 EquityB=1024.740 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=184 Oficial=A EquityA=1024.870 EquityB=1024.870 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=185 Oficial=A EquityA=1024.870 EquityB=1024.870 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=186 Oficial=A EquityA=1024.780 EquityB=1024.780 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=187 Oficial=A EquityA=1024.570 EquityB=1024.570 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=188 Oficial=A EquityA=1024.570 EquityB=1024.570 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=189 Oficial=A EquityA=1024.340 EquityB=1024.340 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=190 Oficial=A EquityA=1023.880 EquityB=1023.880 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=191 Oficial=A EquityA=1023.880 EquityB=1023.880 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=192 Oficial=A EquityA=1024.010 EquityB=1024.010 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=193 Oficial=A EquityA=1024.050 EquityB=1024.050 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=194 Oficial=A EquityA=1024.050 EquityB=1024.050 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=195 Oficial=A EquityA=1023.490 EquityB=1023.490 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=196 Oficial=A EquityA=1023.160 EquityB=1023.160 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=197 Oficial=A EquityA=1023.160 EquityB=1023.160 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=198 Oficial=A EquityA=1022.580 EquityB=1022.580 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=199 Oficial=A EquityA=1022.030 EquityB=1022.030 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=200 Oficial=A EquityA=1022.030 EquityB=1022.030 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=201 Oficial=A EquityA=1021.170 EquityB=1021.170 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=202 Oficial=A EquityA=1020.690 EquityB=1020.690 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=203 Oficial=A EquityA=1020.690 EquityB=1020.690 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=204 Oficial=A EquityA=1021.550 EquityB=1021.550 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=205 Oficial=A EquityA=1021.730 EquityB=1021.730 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=206 Oficial=A EquityA=1021.730 EquityB=1021.730 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=207 Oficial=A EquityA=1022.620 EquityB=1022.620 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=208 Oficial=A EquityA=1023.550 EquityB=1023.550 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=209 Oficial=A EquityA=1023.550 EquityB=1023.550 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=210 Oficial=A EquityA=1024.250 EquityB=1024.250 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=211 Oficial=A EquityA=1024.340 EquityB=1024.340 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=212 Oficial=A EquityA=1024.340 EquityB=1024.340 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=213 Oficial=A EquityA=1025.380 EquityB=1025.380 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=214 Oficial=A EquityA=1024.850 EquityB=1024.850 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=215 Oficial=A EquityA=1024.850 EquityB=1024.850 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=216 Oficial=A EquityA=1024.960 EquityB=1024.960 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=217 Oficial=A EquityA=1025.260 EquityB=1025.260 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=218 Oficial=A EquityA=1025.260 EquityB=1025.260 Diff=0.000 Empate=True FillsA=1 FillsB=1
